Ministry_Key,Des_Grp,Type,Display_Type,DesGrp_Count_Reg,DesGrp_Percent_Reg,NonDesGrp_Count_Reg,NonDesGrp_Percent_Reg,Total_Count_Reg,Total_Percent_Reg,DesGrp_Count_Aux,DesGrp_Percent_Aux,NonDesGrp_Count_Aux,NonDesGrp_Percent_Aux,Total_Count_Aux,Total_Percent_Aux
AEST,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,5,100.0,,,,,,
AEST,DIS,Hiring_Other,Hired from Other Ministry,<3,<3,S,S,45,100.0,,,,,0,100.0
AEST,DIS,Hiring_Outside,Hired from Outside,S,S,S,S,110,100.0,4,18.2,18,81.8,22,100.0
AEST,DIS,Hiring_TotalNew,Total New Hires to Ministry,S,S,S,S,155,100.0,4,18.2,18,81.8,22,100.0
AEST,DIS,Hiring_TotalReg,Total New Regulars to Ministry,12,7.5,148,92.5,160,100.0,,,,,,
AEST,DIS,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,33,100.0,,,,,0,100.0
AEST,DIS,Promotions_Same,Promoted Within Same Organization,<3,<3,S,S,31,100.0,,,,,0,100.0
AEST,DIS,Promotions_Total,Total Promotions,<3,<3,S,S,64,100.0,,,,,0,100.0
AEST,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,S,S,5,100.0
AEST,DIS,Separations_BCPS,Left BC Government,S,S,S,S,46,100.0,S,S,S,S,11,100.0
AEST,DIS,Separations_Other,Moved to Other Ministry,<3,<3,S,S,50,100.0,<3,<3,S,S,6,100.0
AEST,DIS,Separations_Total,Total Separations,6,6.3,90,93.8,96,100.0,S,S,S,S,17,100.0
AEST,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,4,18.2,18,81.8,22,100.0
AG,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,46,100.0,,,,,,
AG,DIS,Hiring_Other,Hired from Other Ministry,<3,<3,S,S,106,100.0,<3,<3,S,S,3,100.0
AG,DIS,Hiring_Outside,Hired from Outside,26,4.2,596,95.8,622,100.0,S,S,S,S,108,100.0
AG,DIS,Hiring_TotalNew,Total New Hires to Ministry,S,S,S,S,728,100.0,5,4.5,106,95.5,111,100.0
AG,DIS,Hiring_TotalReg,Total New Regulars to Ministry,29,3.7,745,96.3,774,100.0,,,,,,
AG,DIS,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,68,100.0,<3,<3,<3,<3,1,100.0
AG,DIS,Promotions_Same,Promoted Within Same Organization,S,S,S,S,313,100.0,<3,<3,S,S,3,100.0
AG,DIS,Promotions_Total,Total Promotions,10,2.6,371,97.4,381,100.0,<3,<3,S,S,4,100.0
AG,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,S,S,46,100.0
AG,DIS,Separations_BCPS,Left BC Government,21,4.1,488,95.9,509,100.0,<3,<3,S,S,42,100.0
AG,DIS,Separations_Other,Moved to Other Ministry,4,4.2,92,95.8,96,100.0,<3,<3,S,S,9,100.0
AG,DIS,Separations_Total,Total Separations,25,4.1,580,95.9,605,100.0,<3,<3,S,S,51,100.0
AG,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,S,S,97,100.0
AGRI,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,10,100.0,,,,,,
AGRI,DIS,Hiring_Other,Hired from Other Ministry,<3,<3,S,S,22,100.0,<3,<3,<3,<3,1,100.0
AGRI,DIS,Hiring_Outside,Hired from Outside,<3,<3,S,S,53,100.0,<3,<3,S,S,30,100.0
AGRI,DIS,Hiring_TotalNew,Total New Hires to Ministry,S,S,S,S,75,100.0,<3,<3,S,S,31,100.0
AGRI,DIS,Hiring_TotalReg,Total New Regulars to Ministry,3,3.5,82,96.5,85,100.0,,,,,,
AGRI,DIS,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,16,100.0,<3,<3,<3,<3,1,100.0
AGRI,DIS,Promotions_Same,Promoted Within Same Organization,<3,<3,S,S,34,100.0,,,,,0,100.0
AGRI,DIS,Promotions_Total,Total Promotions,<3,<3,S,S,50,100.0,<3,<3,<3,<3,1,100.0
