"Women, Representation by Occupation, Compared to the Available WorkforceEmployees",,,,,,,,,
,,,,,,,,,
Employee_Type,Occupation_Cat,Occupation,Women_Gov,Men_Gov,TotalEmployees_Gov,Women_Percent_Gov,Women_Percent_AvailableWorkforce,Women_UnderRep_Expected,Women_UnderRep_Shortfall
Employees_Reg,Senior Managers,Applied Leadership,4,0,4,100,52.6,,
Employees_Reg,Senior Managers,Assistant Deputy Minister Bd A,1,0,1,100,46.1,,
Employees_Reg,Senior Managers,Assistant Deputy Minister Bd B,23,34,57,40.4,46.1,,
Employees_Reg,Senior Managers,Assistant Deputy Minister Bd C,17,14,31,54.8,46.1,,
Employees_Reg,Senior Managers,Assistant Deputy Minister Bd D,4,9,13,30.8,46.1,6,2
Employees_Reg,Senior Managers,Associate Deputy Minister,8,4,12,66.7,46.1,,
Employees_Reg,Senior Managers,Business Leadership,141,126,267,52.8,46.3,,
Employees_Reg,Senior Managers,Deputy Minister,10,17,27,37,46.1,,
Employees_Reg,Senior Managers,Senior Executive Band A,5,9,14,35.7,46.1,,
Employees_Reg,Senior Managers,Strategic Leadership,250,329,579,43.2,27.7,,
Employees_Reg,Senior Managers,*** TOTAL,463,542,1005,46.1,35.6,,
Employees_Reg,Middle and Other Managers,Applied Leadership,275,119,394,69.8,52.2,,
Employees_Reg,Middle and Other Managers,Band A,0,1,1,0,39.9,,
Employees_Reg,Middle and Other Managers,Business Leadership,747,828,1575,47.4,50,788,41
Employees_Reg,Middle and Other Managers,Chairperson,1,0,1,100,65.4,,
Employees_Reg,Middle and Other Managers,Crown Counsel Manager,5,25,30,16.7,39.3,12,7
Employees_Reg,Middle and Other Managers,Management Level 01,1,0,1,100,39.9,,
Employees_Reg,Middle and Other Managers,Management Level 02,0,1,1,0,39.9,,
Employees_Reg,Middle and Other Managers,*** TOTAL,1029,974,2003,51.4,50.3,,
Employees_Reg,Professionals,Administrative Officer 21-30,913,477,1390,65.7,54.4,,
Employees_Reg,Professionals,Applied Leadership,394,189,583,67.6,63.3,,
Employees_Reg,Professionals,Archivist 21-27,6,1,7,85.7,84.8,,
Employees_Reg,Professionals,Articling Student,8,3,11,72.7,38.2,,
Employees_Reg,Professionals,Biologist,106,137,243,43.6,44.4,,
Employees_Reg,Professionals,Business Leadership,247,177,424,58.3,57.6,,
Employees_Reg,Professionals,Communications Officer 21-24,11,4,15,73.3,64.3,,
Employees_Reg,Professionals,Community Coroner,40,30,70,57.1,73.5,51,11
Employees_Reg,Professionals,Crown Counsel,235,194,429,54.8,38.2,,
Employees_Reg,Professionals,Economist,29,52,81,35.8,48.2,39,10
Employees_Reg,Professionals,Editor,5,1,6,83.3,60.8,,
Employees_Reg,Professionals,Education Officer,39,19,58,67.2,69.7,,
Employees_Reg,Professionals,Financial Off (Tax Audit),87,114,201,43.3,53.9,,
Employees_Reg,Professionals,Financial Officer 21-30,215,110,325,66.2,49.6,,
Employees_Reg,Professionals,Heritage Resources Off 21-30,6,0,6,100,59.2,,
Employees_Reg,Professionals,Information Systems 21-30,339,578,917,37,22,,
Employees_Reg,Professionals,Instructor (Corrections) 21-24,0,6,6,0,59.7,4,4
Employees_Reg,Professionals,Laboratory/Hlth Sci Off 21-30,16,4,20,80,24.9,,
Employees_Reg,Professionals,Lead Programmer Analyst,0,2,2,0,22.2,,
Employees_Reg,Professionals,Lead Systems Analyst,0,1,1,0,28.8,,
Employees_Reg,Professionals,Legal Counsel,149,113,262,56.9,38.2,,
Employees_Reg,Professionals,Legal Counsel Manager,2,1,3,66.7,38.2,,
Employees_Reg,Professionals,Librarian,8,0,8,100,86.9,,
Employees_Reg,Professionals,Lic Psychological Assoc,1,0,1,100,69.8,,
Employees_Reg,Professionals,Licensed Psychologist,42,16,58,72.4,69.8,,
Employees_Reg,Professionals,Licensed Sc Off Agrologist,60,71,131,45.8,34,,
Employees_Reg,Professionals,Licensed Sc Off Engineer,8,18,26,30.8,15.5,,
Employees_Reg,Professionals,Licensed Sc Off Forester,135,348,483,28,15.8,,
Employees_Reg,Professionals,Licensed Sc Off Geologist,13,23,36,36.1,23.1,,
Employees_Reg,Professionals,Licensed Sc Off Other,70,78,148,47.3,21,,
Employees_Reg,Professionals,LSO--Designated Profssnl Eng,36,143,179,20.1,14.7,,
Employees_Reg,Professionals,LSO--Designtd Petroleum Geog,3,6,9,33.3,23.1,,
Employees_Reg,Professionals,Nurse,13,1,14,92.9,91.2,,
Employees_Reg,Professionals,Nurse (C),41,6,47,87.2,90.4,,
Employees_Reg,Professionals,Nurse (H),30,7,37,81.1,90.3,,
Employees_Reg,Professionals,Nutritionist,19,1,20,95,90.6,,
Employees_Reg,Professionals,Pharmacist,9,9,18,50,61.3,,
Employees_Reg,Professionals,Planning Officer,29,24,53,54.7,42.8,,
Employees_Reg,Professionals,Policy Analyst - Economics,10,4,14,71.4,48.4,,
Employees_Reg,Professionals,Policy Analyst - Finance,15,16,31,48.4,47.8,,
Employees_Reg,Professionals,Policy Analyst - Science,30,13,43,69.8,40.2,,
Employees_Reg,Professionals,Policy Analyst - Soc/Info/Hlth,74,29,103,71.8,69.5,,
Employees_Reg,Professionals,Programmer Analyst,1,2,3,33.3,22.2,,
Employees_Reg,Professionals,Psychologist,2,0,2,100,69.8,,
Employees_Reg,Professionals,Research Officer 21-30,78,66,144,54.2,61.6,,
Employees_Reg,Professionals,Salaried Physician,2,3,5,40,36.9,,
