Ministry_Key,Ministry_Title
BCPS,BC Public Service
AEST,"Advanced Education, Skills and Training"
AG,Attorney General
AGRI,Agriculture
BCPSA,BC Public Service Agency
CFD,Children and Family Development
CITZ,Citizens' Services
EAO,Environmental Assessment Office
EDUC,Education
EMBC,Emergency Management BC
EMPR,"Energy, Mines and Petroleum Resources"
ENV,Environment and Climate Change Strategy
FIN,Finance
FLNRORD,"Forests, Lands, Natural Resource Operations and Rural Development"
GCPE,Government Communications and Public Engagement
HLTH,Health
IRR,Indigenous Relations and Reconciliation
JTT,"Jobs, Trade and Technology"
LBR,Labour
MAH,Municipal Affairs and Housing
MHA,Mental Health and Addictions
PGT,Public Guardian and Trustee
PO,Office of the Premier
PSSG,Public Safety and Solicitor General
SDPR,Social Development and Poverty Reduction
TAC,"Tourism, Arts and Culture"
TRAN,Transportation and Infrastructure
